run_id,doc_id,doc_index,model,field,field_type,extracted_value,extraction_latency_ms,extraction_error,judge_verdict,judge_confidence,judge_probabilities,judge_grounded_noul,judge_correction_value,judge_correction_confidence,judge_reason,reason_source,judge_latency_ms,judge_error,decision,final_value,final_value_source,gt_value,gt_present,gt_multivalued,exact_match_before,normalized_match_before,exact_match_after,normalized_match_after
20260920T192249Z,test-0,0,openai/gpt-oss-20b,menu.first_item_cnt,number,,15521.499541006051,,FAIL,0.68,"{""PASS"": 0.18, ""FAIL"": 0.79, ""UNCERTAIN"": 0.03}",0.03,2.00,0.63,"Jev selected FAIL with confidence 0.68; distribution [FAIL=0.79, PASS=0.18, UNCERTAIN=0.03]; value does NOT appear verbatim in the document (noul=0.03); suggests corrected value '2.00' (confidence 0.63).",derived_from_jev_probabilities,351.4130830008071,,review,,extraction,2,True,False,False,False,False,False
20260920T192249Z,test-0,0,openai/gpt-oss-20b,menu.first_item_name,text,,15521.499541006051,,PASS,0.91,"{""PASS"": 0.94, ""FAIL"": 0.05, ""UNCERTAIN"": 0.01}",0.03,,,"Jev selected PASS with confidence 0.91; distribution [PASS=0.94, FAIL=0.05, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.03).",derived_from_jev_probabilities,351.4130830008071,,accept,,extraction,-TICKET CP,True,False,False,False,False,False
20260920T192249Z,test-0,0,openai/gpt-oss-20b,menu.first_item_price,currency,,15521.499541006051,,FAIL,0.63,"{""PASS"": 0.22, ""FAIL"": 0.76, ""UNCERTAIN"": 0.02}",0.05,60.000,0.81,"Jev selected FAIL with confidence 0.63; distribution [FAIL=0.76, PASS=0.22, UNCERTAIN=0.02]; value does NOT appear verbatim in the document (noul=0.05); suggests corrected value '60.000' (confidence 0.81).",derived_from_jev_probabilities,351.4130830008071,,review,,extraction,60.000,True,False,False,False,False,False
20260920T192249Z,test-0,0,openai/gpt-oss-20b,sub_total.discount_price,currency,-60.000,15521.499541006051,,PASS,0.57,"{""PASS"": 0.72, ""FAIL"": 0.28, ""UNCERTAIN"": 0.0}",0.51,,,"Jev selected PASS with confidence 0.57; distribution [PASS=0.72, FAIL=0.28, UNCERTAIN=0.00]; verbatim presence is ambiguous (noul=0.51).",derived_from_jev_probabilities,351.4130830008071,,review,-60.000,extraction,-60.000,True,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,sub_total.service_price,currency,,15521.499541006051,,PASS,0.83,"{""PASS"": 0.88, ""FAIL"": 0.11, ""UNCERTAIN"": 0.01}",0.06,,,"Jev selected PASS with confidence 0.83; distribution [PASS=0.88, FAIL=0.11, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.06).",derived_from_jev_probabilities,351.4130830008071,,accept,,extraction,,False,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,sub_total.subtotal_price,currency,60.000,15521.499541006051,,PASS,0.9,"{""PASS"": 0.9400000000000001, ""FAIL"": 0.06, ""UNCERTAIN"": 0.0}",0.94,,,"Jev selected PASS with confidence 0.90; distribution [PASS=0.94, FAIL=0.06, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.94).",derived_from_jev_probabilities,351.4130830008071,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,sub_total.tax_price,currency,5.455,15521.499541006051,,PASS,0.86,"{""PASS"": 0.91, ""FAIL"": 0.09, ""UNCERTAIN"": 0.0}",0.88,,,"Jev selected PASS with confidence 0.86; distribution [PASS=0.91, FAIL=0.09, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.88).",derived_from_jev_probabilities,351.4130830008071,,accept,5.455,extraction,5.455,True,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,total.cashprice,currency,,15521.499541006051,,PASS,0.88,"{""PASS"": 0.92, ""FAIL"": 0.08, ""UNCERTAIN"": 0.0}",0.07,,,"Jev selected PASS with confidence 0.88; distribution [PASS=0.92, FAIL=0.08, UNCERTAIN=0.00]; value does NOT appear verbatim in the document (noul=0.07).",derived_from_jev_probabilities,351.4130830008071,,accept,,extraction,,False,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,total.changeprice,currency,,15521.499541006051,,PASS,0.72,"{""PASS"": 0.82, ""FAIL"": 0.17, ""UNCERTAIN"": 0.01}",0.06,,,"Jev selected PASS with confidence 0.72; distribution [PASS=0.82, FAIL=0.17, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.06).",derived_from_jev_probabilities,351.4130830008071,,review,,extraction,,False,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,total.creditcardprice,currency,60.000,15521.499541006051,,PASS,0.9,"{""PASS"": 0.9299999999999999, ""FAIL"": 0.06, ""UNCERTAIN"": 0.01}",0.86,,,"Jev selected PASS with confidence 0.90; distribution [PASS=0.93, FAIL=0.06, UNCERTAIN=0.01]; value appears verbatim in the document (noul=0.86).",derived_from_jev_probabilities,351.4130830008071,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,total.menuqty_cnt,number,2.00,15521.499541006051,,PASS,0.99,"{""PASS"": 1.0, ""FAIL"": 0.0, ""UNCERTAIN"": 0.0}",0.85,,,"Jev selected PASS with confidence 0.99; distribution [PASS=1.00, FAIL=0.00, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.85).",derived_from_jev_probabilities,351.4130830008071,,accept,2.00,extraction,2.00,True,False,True,True,True,True
20260920T192249Z,test-0,0,openai/gpt-oss-20b,total.total_price,currency,60.000,15521.499541006051,,PASS,0.83,"{""PASS"": 0.89, ""FAIL"": 0.1, ""UNCERTAIN"": 0.01}",0.93,,,"Jev selected PASS with confidence 0.83; distribution [PASS=0.89, FAIL=0.10, UNCERTAIN=0.01]; value appears verbatim in the document (noul=0.93).",derived_from_jev_probabilities,351.4130830008071,,accept,60.000,extraction,60.000,True,False,True,True,True,True
20260920T192249Z,test-1,1,openai/gpt-oss-20b,menu.first_item_cnt,number,,4325.679333996959,,PASS,0.72,"{""PASS"": 0.82, ""FAIL"": 0.12, ""UNCERTAIN"": 0.06}",0.03,,,"Jev selected PASS with confidence 0.72; distribution [PASS=0.82, FAIL=0.12, UNCERTAIN=0.06]; value does NOT appear verbatim in the document (noul=0.03).",derived_from_jev_probabilities,196.61841599736363,,review,,extraction,,False,False,True,True,True,True
20260920T192249Z,test-1,1,openai/gpt-oss-20b,menu.first_item_name,text,J.STB PROMO,4325.679333996959,,PASS,1.0,"{""PASS"": 1.0, ""FAIL"": 0.0, ""UNCERTAIN"": 0.0}",0.97,,,"Jev selected PASS with confidence 1.00; distribution [PASS=1.00, FAIL=0.00, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.97).",derived_from_jev_probabilities,196.61841599736363,,accept,J.STB PROMO,extraction,J.STB PROMO,True,False,True,True,True,True
20260920T192249Z,test-1,1,openai/gpt-oss-20b,menu.first_item_price,currency,17500,4325.679333996959,,PASS,0.99,"{""PASS"": 1.0, ""FAIL"": 0.0, ""UNCERTAIN"": 0.0}",0.96,,,"Jev selected PASS with confidence 0.99; distribution [PASS=1.00, FAIL=0.00, UNCERTAIN=0.00]; value appears verbatim in the document (noul=0.96).",derived_from_jev_probabilities,196.61841599736363,,accept,17500,extraction,17500,True,False,True,True,True,True
20260920T192249Z,test-1,1,openai/gpt-oss-20b,sub_total.discount_price,currency,,4325.679333996959,,PASS,0.98,"{""PASS"": 0.99, ""FAIL"": 0.01, ""UNCERTAIN"": 0.0}",0.06,,,"Jev selected PASS with confidence 0.98; distribution [PASS=0.99, FAIL=0.01, UNCERTAIN=0.00]; value does NOT appear verbatim in the document (noul=0.06).",derived_from_jev_probabilities,196.61841599736363,,accept,,extraction,,False,False,True,True,True,True
20260920T192249Z,test-1,1,openai/gpt-oss-20b,sub_total.service_price,currency,,4325.679333996959,,PASS,0.93,"{""PASS"": 0.95, ""FAIL"": 0.04, ""UNCERTAIN"": 0.01}",0.05,,,"Jev selected PASS with confidence 0.93; distribution [PASS=0.95, FAIL=0.04, UNCERTAIN=0.01]; value does NOT appear verbatim in the document (noul=0.05).",derived_from_jev_probabilities,196.61841599736363,,accept,,extraction,,False,False,True,True,True,True
